"basin"	"critical"	"index"	"sample"	"sign"
"33384"	"APOM"	"APOM"	2	"FORALL_161"	"negative"
"33385"	"CPS1"	"APOM"	2	"FORALL_161"	"negative"
"33386"	"HGFAC"	"APOM"	2	"FORALL_161"	"negative"
"33387"	"A2M"	"APOM"	2	"FORALL_161"	"negative"
"33388"	"SERPIND1"	"APOM"	2	"FORALL_161"	"negative"
"33389"	"PPIAL4A"	"APOM"	2	"FORALL_161"	"negative"
"33390"	"APOE"	"APOM"	2	"FORALL_161"	"negative"
"33391"	"SERPING1"	"APOM"	2	"FORALL_161"	"negative"
"33392"	"RGN"	"APOM"	2	"FORALL_161"	"negative"
"33393"	"THBS1"	"APOM"	2	"FORALL_161"	"negative"
"33394"	"TF"	"APOM"	2	"FORALL_161"	"negative"
"33395"	"ACOT13"	"APOM"	2	"FORALL_161"	"negative"
"272470"	"ARRB1"	"ARRB1"	1	"FORALL_004"	"negative"
"272471"	"SOD2"	"ARRB1"	1	"FORALL_004"	"negative"
"272472"	"ACSS1"	"ARRB1"	1	"FORALL_004"	"negative"
"272473"	"IRS2"	"ARRB1"	1	"FORALL_004"	"negative"
"272474"	"HYI"	"ARRB1"	1	"FORALL_004"	"negative"
"272475"	"GNB4"	"ARRB1"	1	"FORALL_004"	"negative"
"272476"	"TNFSF13B"	"ARRB1"	1	"FORALL_004"	"negative"
"272477"	"C11orf54"	"ARRB1"	1	"FORALL_004"	"negative"
"272478"	"RNF214"	"ARRB1"	1	"FORALL_004"	"negative"
"457326"	"AHNAK"	"AHNAK"	1	"FORALL_010"	"negative"
"457327"	"LMNA"	"AHNAK"	1	"FORALL_010"	"negative"
"457328"	"TRAF1"	"AHNAK"	1	"FORALL_010"	"negative"
"457329"	"SGMS1"	"AHNAK"	1	"FORALL_010"	"negative"
"457330"	"NMRK1"	"AHNAK"	1	"FORALL_010"	"negative"
"457331"	"SLC2A3"	"AHNAK"	1	"FORALL_010"	"negative"
"457332"	"ARID3B"	"AHNAK"	1	"FORALL_010"	"negative"
"457333"	"JUNB"	"AHNAK"	1	"FORALL_010"	"negative"
"457334"	"PTMS"	"AHNAK"	1	"FORALL_010"	"negative"
"457335"	"SRGN"	"AHNAK"	1	"FORALL_010"	"negative"
"457336"	"IL4I1"	"AHNAK"	1	"FORALL_010"	"negative"
"457337"	"RALB"	"AHNAK"	1	"FORALL_010"	"negative"
"457338"	"TCAF2"	"AHNAK"	1	"FORALL_010"	"negative"
"457339"	"NCEH1"	"AHNAK"	1	"FORALL_010"	"negative"
"457340"	"IRF5"	"AHNAK"	1	"FORALL_010"	"negative"
"457341"	"GTDC1"	"AHNAK"	1	"FORALL_010"	"negative"
"457342"	"WIPI1"	"AHNAK"	1	"FORALL_010"	"negative"
"457343"	"HABP4"	"AHNAK"	1	"FORALL_010"	"negative"
"457344"	"H6PD"	"AHNAK"	1	"FORALL_010"	"negative"
"457345"	"ENO2"	"AHNAK"	1	"FORALL_010"	"negative"
"457346"	"VPS13D"	"AHNAK"	1	"FORALL_010"	"negative"
"457347"	"PI4K2B"	"AHNAK"	1	"FORALL_010"	"negative"
"457348"	"DOCK10"	"AHNAK"	1	"FORALL_010"	"negative"
"457349"	"ATP13A3"	"AHNAK"	1	"FORALL_010"	"negative"
"457350"	"MMAA"	"AHNAK"	1	"FORALL_010"	"negative"
"457351"	"RIT1"	"AHNAK"	1	"FORALL_010"	"negative"
"457352"	"CTIF"	"AHNAK"	1	"FORALL_010"	"negative"
"460927"	"ARHGAP18"	"ARHGAP18"	2	"FORALL_010"	"negative"
"460928"	"CST7"	"ARHGAP18"	2	"FORALL_010"	"negative"
"460929"	"LGALS1"	"ARHGAP18"	2	"FORALL_010"	"negative"
"460930"	"FBXO6"	"ARHGAP18"	2	"FORALL_010"	"negative"
"460931"	"STOM"	"ARHGAP18"	2	"FORALL_010"	"negative"
"460932"	"RAB27A"	"ARHGAP18"	2	"FORALL_010"	"negative"
"460933"	"S100A10"	"ARHGAP18"	2	"FORALL_010"	"negative"
"460934"	"HLA-A"	"ARHGAP18"	2	"FORALL_010"	"negative"
"460935"	"SH2D2A"	"ARHGAP18"	2	"FORALL_010"	"negative"
"460936"	"FURIN"	"ARHGAP18"	2	"FORALL_010"	"negative"
"460937"	"HLA-C"	"ARHGAP18"	2	"FORALL_010"	"negative"
"460938"	"S100A4"	"ARHGAP18"	2	"FORALL_010"	"negative"
"460939"	"DES"	"ARHGAP18"	2	"FORALL_010"	"negative"
"460940"	"GBP2"	"ARHGAP18"	2	"FORALL_010"	"negative"
"460941"	"ST3GAL1"	"ARHGAP18"	2	"FORALL_010"	"negative"
"460942"	"VIM"	"ARHGAP18"	2	"FORALL_010"	"negative"
"460943"	"GNPTAB"	"ARHGAP18"	2	"FORALL_010"	"negative"
