"Cell.Line.Name"	"Analysis_Rep"	"Cell_Line_Name_with_Rep"	"Cell.lysate_No."	"SP3.cleaned.peptide.con.ug.uL."	"SP3.cleaned.peptide.ug..85uL.left."	"Astral_DIA_vial..uL.for.5ug."	"IsReplicate"	"Robot_internal..same.lysate."	"DIA_run"	"Astral_No."	"Digestion_batch"	"Peptide_No."	"Figaro_run_date..5uL.run..50uL.in.total."	"phospho.DIA_prep.run"	"Phosho.DIA_No"	"timsTOF_run_date..1plateOutOf3."	"Type.Leukemia"	"Lineage"	"Type"	"Subtype"	"Grouped_Subtype"	"Tissue"	"Age"	"Age_Note"	"Sex"	"Sex_LA"	"chrY_exp"	"Time"	"Relapse"	"Chromosomal.abberation"	"Verified_RNAseq"	"Verified_WGS"	"KRAS.NRASmut"	"TP53_Depmap"	"NOTCH1.PESTmut"	"clust_all_rna"	"clust_B_rna"	"clust_T_rna"	"clust_all_protein"	"clust_B_protein"	"clust_T_protein"	"DSRT"	"WGS"	"RNAseq"	"Protein"	"FORALLv1"	"FORALLv2"	"CEL_ID"	"DNA"	"RNA"	"PRO"	"DRU"	"PHO"	"Medium"	"Cell.density.limits.M.ml"	"Assigned.stage"	"Drug.Screening"	"Drug.Screening.Date"	"DepMap_ID"	"Cellosaurus_ID"	"Source"	"Study_Batch"	"WGS_sample"	"RNA_seq_sample_all"	"RNA_seq_sample_to_use"	"RNA_seq_batch"	"Proteomics_prep_batch"	"Proteomics_run_batch"	"Freezer_Box_Pellets"	"Comments"	"STR_Authentication"	"Cell_Line_Name_R"	"deprecated_RNA_seq_samples"	"deprecated_RNA_seq_samples_rep"	"deprecated_RNA.seq.sample"	"deprecated_RNAseq_Batch"	"cluster"	"nmf_clusters"
"BALM-24"	FALSE	"BALM-24"	188	0.37	37	18.018018018018	NA	NA	"run-5"	"FORALL_158"	"Batch-E"	27	"1 (2025-02-24)"	"run-1"	"FORALL_P_158"	1741305600	"precursor B-Cell Leukemia"	"B"	"BCP-ALL"	"IGH-MYC"	"MYCr"	"PB"	46	"46"	"F"	"F"	NA	NA	NA	"t(8;14)(q24.1;q32) Burkitts Lymphoma?"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	FALSE	FALSE	TRUE	FALSE	TRUE	"FORALL-CEL-172"	NA	NA	"FORALL-CEL-172-PRO"	"FORALL-CEL-172-DRU"	"FORALL-CEL-172-PHO"	"IMDM.10"	"1-3"	NA	"1743465600"	"1743465600"	NA	"CVCL_B3M5"	"KI"	"FORALL_v2"	NA	NA	NA	NA	NA	NA	"ALL-H1-ZAS"	"Ordered 2024-10-25"	NA	"BALM-24"	NA	NA	NA	NA	1	2
"KOPN60"	TRUE	"KOPN60_E"	191	0.35	35	19.047619047619	NA	2	"run-5"	"FORALL_161"	"Batch-E"	30	"1 (2025-02-24)"	"run-1"	"FORALL_P_161"	1741305600	"precursor B-Cell Leukemia"	"B"	"BCP-ALL"	"MEF2D-DAZAP1"	"MEF2Dr"	NA	14	"14"	NA	NA	0	"Dx"	"Relapse"	"MISSLABELED!!! MEF2D-DAZAP1 L-KUM? 13y? Relapse? Previously annotated as TCF3-PBX1 KOPN-60 due to old/wrong subtyping, Confirm from Japan its MEF2D-DAZAP1 but it its KOPN60"	NA	NA	NA	NA	NA	4	5	NA	1	1	NA	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	"FORALL-CEL-207"	"FORALL-CEL-207-DNA"	"FORALL-CEL-207-RNA"	"FORALL-CEL-207-PRO"	"FORALL-CEL-207-DRU"	"FORALL-CEL-207-PHO"	"IMDM.20"	"1-4"	NA	"YES"	"1706486400"	NA	"CVCL_A330"	"Japan"	"FORALL_v2"	"XE-4009-KOPN60"	"XE-4008-KOPN60_S106,XE-4008-KOPN60_S743"	"XE-4008-KOPN60_S743"	6	NA	NA	"ALL-H1-ZX"	NA	1719532800	"KOPN60"	"XE-4008-KOPN60"	NA	"XE4008"	4	2	8
"NALM-37"	FALSE	"NALM-37"	189	0.37	37	18.018018018018	NA	NA	"run-5"	"FORALL_159"	"Batch-E"	28	"1 (2025-02-24)"	"run-1"	"FORALL_P_159"	1741305600	"precursor B-Cell Leukemia"	"B"	"BCP-ALL"	"MEF2D-BCL9"	"MEF2Dr"	"BM"	37	"37"	"F"	"F"	NA	"PD"	"1st"	"Possibly MEF2Dr, Relapse of NALM-36"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	FALSE	FALSE	TRUE	FALSE	TRUE	"FORALL-CEL-157"	NA	NA	"FORALL-CEL-157-PRO"	"FORALL-CEL-157-DRU"	"FORALL-CEL-157-PHO"	"IMDM.10"	"1-3"	NA	"1742256000"	"1742256000"	NA	"CVCL_5676"	"KI"	"FORALL_v2"	NA	NA	NA	NA	NA	NA	"ALL-H1-ZAS"	"Ordered 2024-10-25"	NA	"NALM-37"	NA	NA	NA	NA	2	6
"YAMN90R"	TRUE	"YAMN90R_E"	193	0.37	37	18.018018018018	NA	2	"run-5"	"FORALL_163"	"Batch-E"	32	"1 (2025-02-24)"	"run-1"	"FORALL_P_163"	1741305600	"precursor B-Cell Leukemia"	"B"	"BCP-ALL"	"TCF3-PBX1"	"TCF3r"	NA	4	"4"	NA	NA	1	"PD"	"Relapse"	"KRAS G12V"	NA	NA	"KRAS:G12V"	NA	NA	2	2	NA	1	1	NA	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	"FORALL-CEL-146"	"FORALL-CEL-146-DNA"	"FORALL-CEL-146-RNA"	"FORALL-CEL-146-PRO"	"FORALL-CEL-146-DRU"	"FORALL-CEL-146-PHO"	"IMDM.20"	"1-3"	NA	"YES"	"1708992000"	NA	NA	"Japan"	"FORALL_v2"	"XE-4009-YAMN90R"	"XE-4008-YAMN90R_S131,XE-4008-YAMN90R_S768"	"XE-4008-YAMN90R_S768"	6	NA	NA	"ALL-H1-ZW"	NA	1719532800	"YAMN90R"	"XE-4008-YAMN90R"	NA	"XE4008"	4	3	9
"BALM-23"	FALSE	"BALM-23"	186	0.4	40	16.6666666666667	NA	NA	"run-5"	"FORALL_156"	"Batch-E"	25	"1 (2025-02-24)"	"run-1"	"FORALL_P_156"	1741305600	"precursor B-Cell Leukemia"	"B"	"BCP-ALL"	"TCF3-HLF"	"TCF3r"	"BM"	24	"24"	"M"	"M"	NA	"Dx"	"Diagnosis"	"TCF3-HLF, Sister cell line of BALM-19 and BALM-26"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	FALSE	FALSE	TRUE	FALSE	TRUE	"FORALL-CEL-199"	NA	NA	"FORALL-CEL-199-PRO"	"FORALL-CEL-199-DRU"	"FORALL-CEL-199-PHO"	"IMDM.10"	"1-3"	NA	"1742256000"	"1742256000"	NA	"CVCL_5700"	"KI"	"FORALL_v2"	NA	NA	NA	NA	NA	NA	"ALL-H1-ZAU"	"Ordered 2024-10-25"	NA	"BALM-23"	NA	NA	NA	NA	1	11
"NALM-24"	FALSE	"NALM-24"	187	0.37	37	18.018018018018	NA	NA	"run-5"	"FORALL_157"	"Batch-E"	26	"1 (2025-02-24)"	"run-1"	"FORALL_P_157"	1741305600	"precursor B-Cell Leukemia"	"B"	"BCP-ALL"	"BCR-ABL1"	"ABL1r"	"PB"	42	"42"	"F"	"F"	NA	NA	NA	"t(9;22) (q34;q11) BCR-ABL1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	FALSE	FALSE	TRUE	FALSE	TRUE	"FORALL-CEL-231"	NA	NA	"FORALL-CEL-231-PRO"	"FORALL-CEL-231-DRU"	"FORALL-CEL-231-PHO"	"IMDM.10"	"1-3, clustering"	NA	"1742256000"	"1742256000"	NA	"CVCL_3888"	"KI"	"FORALL_v2"	NA	NA	NA	NA	NA	NA	"ALL-H1-ZAU"	"Ordered 2024-10-25"	NA	"NALM-24"	NA	NA	NA	NA	4	12
"NALM-30"	FALSE	"NALM-30"	190	0.37	37	18.018018018018	NA	NA	"run-5"	"FORALL_160"	"Batch-E"	29	"1 (2025-02-24)"	"run-1"	"FORALL_P_160"	1741305600	"precursor B-Cell Leukemia"	"B"	"BCP-ALL"	"BCR-ABL1"	"ABL1r"	"BM"	39	"39"	"M"	"M"	NA	"PD"	"1st"	"t(9;22) (q34;q11) BCR-ABL1, Relapse of NALM-27"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	FALSE	FALSE	TRUE	FALSE	TRUE	"FORALL-CEL-187"	NA	NA	"FORALL-CEL-187-PRO"	"FORALL-CEL-187-DRU"	"FORALL-CEL-187-PHO"	"IMDM.10"	"1-3"	NA	"1742256000"	"1742256000"	NA	"CVCL_5668"	"KI"	"FORALL_v2"	NA	NA	NA	NA	NA	NA	"ALL-H1-ZAS, ALL-H1-ZAU"	"Ordered 2024-10-25"	NA	"NALM-30"	NA	NA	NA	NA	5	4
"YCUB-2"	TRUE	"YCUB-2_E"	192	0.38	38	17.5438596491228	NA	2	"run-5"	"FORALL_162"	"Batch-E"	31	"1 (2025-02-24)"	"run-1"	"FORALL_P_162"	1741305600	"precursor B-Cell Leukemia"	"B"	"BCP-ALL"	"TCF3-HLF"	"TCF3r"	"PB"	4	"4"	"M"	"M"	1	"PD"	"Relapse"	"46, XY, t(17;19) (analyzed at relapse.)"	NA	NA	NA	NA	NA	2	2	NA	2	2	NA	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	"FORALL-CEL-128"	"FORALL-CEL-128-DNA"	"FORALL-CEL-128-RNA"	"FORALL-CEL-128-PRO"	"FORALL-CEL-128-DRU"	"FORALL-CEL-128-PHO"	"IMDM.20"	"1-4"	NA	"YES (redo 2025-04-01)"	"1715904000"	NA	"CVCL_A082"	"KI"	"FORALL_v2"	"XE-4009-YCUB-2"	"XE-4008-YCUB-2_S117,XE-4008-YCUB-2_S754"	"XE-4008-YCUB-2_S754"	6	NA	NA	"ALL-H1-ZAC"	"Ordered 2024-02-27"	1719532800	"YCUB-2"	"XE-4008-YCUB-2"	NA	"XE4008"	4	4	13
"COG-LL-394h"	FALSE	"COG-LL-394h"	2	0.38685	38.685	17.2332083925725	NA	NA	"run-1"	"FORALL_001"	"Batch-B"	1	"3 (2024-12-20, 2025-01-08, 2025-01-31)"	"run-2"	"FORALL_P_1"	1744761600	"precursor B-Cell Leukemia"	"B"	"BCP-ALL"	"ABL1-ZMIZ1"	"ABL1r"	"BM"	NA	NA	"F"	"F"	0	"PD"	NA	"Could this be BCR-ABL1? From Meltome it look like it and ABL1 is overexpressed in this cell line!!!??? Its ZMIZ1-ABL1"	NA	NA	NA	NA	NA	5	4	NA	2	2	NA	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	"FORALL-CEL-141"	"FORALL-CEL-141-DNA"	"FORALL-CEL-141-RNA"	"FORALL-CEL-141-PRO"	"FORALL-CEL-141-DRU"	"FORALL-CEL-141-PHO"	"IMDM.20"	NA	"late pre-B"	"YES"	"FORALLv1"	NA	NA	"KI"	"FORALL_v1"	"XE-4009-COG-LL-394h"	"SD-2137-COG-LL-394h_S7,XE-4008-COG-LL-394h_S112,XE-4008-COG-LL-394h_S749"	"XE-4008-COG-LL-394h_S749"	6	NA	NA	"2"	NA	1687996800	"COG-LL-394h"	"SD-2137-COG-LL-394h_S7"	"XE-4008-COG-LL-394h"	"SD.2137.COG.LL.394h_S7 / XE-4009"	1707004800	5	4
"BALM-22"	FALSE	"BALM-22"	51	0.36005	36.005	18.5159468592325	NA	NA	"run-1"	"FORALL_002"	"Batch-A"	8	"3 (2024-12-20, 2025-01-08, 2025-01-31)"	"run-2"	"FORALL_P_2"	1744761600	"precursor B-Cell Leukemia"	"B"	"BCP-ALL"	"TCF3-HLF"	"TCF3r"	"BM"	25	"25"	"M"	"M"	1	NA	NA	"TCF3-HLF, same patient as BALM-19 and BALM-26"	NA	NA	NA	NA	NA	4	5	NA	1	1	NA	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	"FORALL-CEL-192"	"FORALL-CEL-192-DNA"	"FORALL-CEL-192-RNA"	"FORALL-CEL-192-PRO"	"FORALL-CEL-192-DRU"	"FORALL-CEL-192-PHO"	"IMDM.20"	"1-4"	NA	"YES"	"1686268800"	NA	"CVCL_5699"	"KI"	"FORALL_v2"	"XE-4009-BALM-22"	"XE-4008-BALM-22_S728,XE-4008-BALM-22_S91"	"XE-4008-BALM-22_S728"	6	NA	NA	"4"	NA	1687996800	"BALM-22"	"XE-4008-BALM-22"	NA	"XE4008"	4	1	11
