"NMF1"	"NMF2"	"NMF3"	"NMF4"	"NMF5"	"NMF6"	"NMF7"	"NMF8"	"NMF9"	"NMF10"	"NMF11"	"NMF12"	"NMF13"	"class"	"max_val"
"FORALL_115"	0.723025834530562	0.169065402165127	0.0171424366127825	4.84676649504925e-15	4.84676649504925e-15	0.0852704167825002	0.00549590990898882	4.84676649504925e-15	4.84676649504925e-15	4.84676649504925e-15	4.84676649504925e-15	4.84676649504925e-15	4.84676649504925e-15	"NMF1"	0.723025834530562
"FORALL_098"	0.648876030860474	5.60230034457451e-15	5.60230034457451e-15	0.0957685451610983	5.60230034457451e-15	5.60230034457451e-15	5.60230034457451e-15	3.86015693125274e-06	5.60230034457451e-15	0.227391851802249	5.60230034457451e-15	5.60230034457451e-15	0.0279597120192029	"NMF1"	0.648876030860474
"FORALL_015"	0.637109776970481	4.87667090746707e-15	0.101275626018379	0.000438477427181231	0.00764571928849603	4.87667090746707e-15	4.87667090746707e-15	0.0570427719792627	0.115986505549253	4.87667090746707e-15	4.87667090746707e-15	0.0795518548668056	0.000949267900117072	"NMF1"	0.637109776970481
"FORALL_129"	0.575982405213589	0.0498367022830571	6.05987280762539e-15	0.200270130806564	6.05987280762539e-15	6.05987280762539e-15	6.05987280762539e-15	6.05987280762539e-15	6.05987280762539e-15	0.173619072469219	0.000291689227522074	6.05987280762539e-15	6.05987280762539e-15	"NMF1"	0.575982405213589
"FORALL_069"	0.567898543099462	5.01399732316131e-15	5.01399732316131e-15	5.01399732316131e-15	0.0900665631893469	0.17510328665224	5.01399732316131e-15	5.01399732316131e-15	0.115585602971835	5.01399732316131e-15	5.01399732316131e-15	5.01399732316131e-15	0.0513460040870748	"NMF1"	0.567898543099462
"FORALL_123"	0.508728641434593	5.88581140488024e-15	0.0240984105807449	5.23839923188391e-14	5.88581140488024e-15	2.69077205374974e-05	0.0122660772916301	5.88581140488024e-15	5.88581140488024e-15	0.280976508541329	0.0172751644122167	5.88581140488024e-15	0.156628290018867	"NMF1"	0.508728641434593
"FORALL_143"	0.49934888618592	5.35526381701704e-15	0.139986758016012	0.049289564424948	5.35526381701704e-15	5.35526381701704e-15	5.35526381701704e-15	5.35526381701704e-15	0.0240612051350206	0.183459373777985	5.35526381701704e-15	0.0503168379486113	0.0535373745114711	"NMF1"	0.49934888618592
"FORALL_096"	0.491021592217025	5.0229506481258e-15	5.0229506481258e-15	5.0229506481258e-15	5.0229506481258e-15	5.0229506481258e-15	5.0229506481258e-15	0.0928860707917874	0.0614238992205901	5.0229506481258e-15	5.0229506481258e-15	5.0229506481258e-15	0.354668437770552	"NMF1"	0.491021592217025
"FORALL_080"	0.463223434935351	5.09484168944267e-15	5.09484168944267e-15	5.09484168944267e-15	5.09484168944267e-15	5.09484168944267e-15	5.09484168944267e-15	0.430064606410505	5.09484168944267e-15	5.09484168944267e-15	0.00160554121036935	0.105106417443729	5.09484168944267e-15	"NMF1"	0.463223434935351
"FORALL_014"	0.443497497881367	5.49230186712842e-15	0.000103965891340836	5.49230186712842e-15	0.0532351351267005	0.260771261532097	5.49230186712842e-15	5.49230186712842e-15	0.238632004537624	1.7586491127868e-09	5.49230186712842e-15	5.49230186712842e-15	0.00376013327218875	"NMF1"	0.443497497881367
"FORALL_078"	0.440933952648394	5.75512561155527e-15	5.75512561155527e-15	0.0289841740875072	5.75512561155527e-15	5.75512561155527e-15	5.75512561155527e-15	0.307718323077297	5.75512561155527e-15	5.75512561155527e-15	0.105941215877343	0.116422334309412	5.75512561155527e-15	"NMF1"	0.440933952648394
"FORALL_090"	0.439167587557027	4.11615993624349e-15	4.11615993624349e-15	0.229824717488421	4.11615993624349e-15	4.11615993624349e-15	4.11615993624349e-15	0.206583184059054	4.11615993624349e-15	0.0840722450005644	4.11615993624349e-15	9.67691783534528e-15	0.0403522658948958	"NMF1"	0.439167587557027
"FORALL_137"	0.434913368916091	5.98386984883429e-15	5.98386984883429e-15	5.98386984883429e-15	5.98386984883429e-15	5.98386984883429e-15	0.017266666047887	1.48377794312367e-08	5.98386984883429e-15	0.0568474828459965	0.231871612774037	0.259100854578167	5.98386984883429e-15	"NMF1"	0.434913368916091
"FORALL_083"	0.428677878689135	0.0170776545516972	5.25347107057633e-15	0.0700493594706729	0.190351829688246	5.25347107057633e-15	5.25347107057633e-15	5.25347107057633e-15	1.05870260364034e-12	0.293843277599149	5.25347107057633e-15	5.25347107057633e-15	9.03828337649283e-15	"NMF1"	0.428677878689135
"FORALL_140"	0.416823482030218	1.0395956517113e-13	5.54370393467456e-15	5.54370393467456e-15	5.54370393467456e-15	0.211637559319168	5.54370393467456e-15	0.155324361738895	5.54370393467456e-15	0.0696641754109408	5.54370393467456e-15	5.54370393467456e-15	0.146550421500636	"NMF1"	0.416823482030218
"FORALL_033"	0.414933489601893	0.0415835843562511	0.0202994789676421	5.1494531697984e-15	5.1494531697984e-15	5.1494531697984e-15	0.0675106141689188	0.0614455661297558	5.1494531697984e-15	5.1494531697984e-15	0.3942272667755	8.61145956586575e-15	5.1494531697984e-15	"NMF1"	0.414933489601893
"FORALL_023"	0.408428368137651	0.0502061764375996	6.16284886079252e-15	6.50542162604775e-09	6.16284886079252e-15	0.0134536032223316	0.00659826765584369	0.232643575551887	0.0217006652975092	6.16284886079252e-15	0.11016483498088	6.16284886079252e-15	0.156804502210851	"NMF1"	0.408428368137651
"FORALL_006"	0.400879358641066	5.81386614598143e-15	5.81386614598143e-15	5.81386614598143e-15	5.81386614598143e-15	5.81386614598143e-15	5.81386614598143e-15	0.222655698025081	0.042209917497271	5.81386614598143e-15	5.81386614598143e-15	0.0112056131302321	0.323049412706304	"NMF1"	0.400879358641066
"FORALL_051"	0.392895196225001	5.89874380586386e-15	0.0452287866507744	0.0747801041082817	5.89874380586386e-15	5.89874380586386e-15	5.89874380586386e-15	0.383928805853768	5.89874380586386e-15	5.89874380586386e-15	5.89874380586386e-15	5.89874380586386e-15	0.103167107162128	"NMF1"	0.392895196225001
"FORALL_118"	0.387009934307061	6.26251854613582e-15	6.26251854613582e-15	0.096849422530004	6.26251854613582e-15	6.26251854613582e-15	6.26251854613582e-15	0.127246213717	6.26251854613582e-15	6.26251854613582e-15	0.342553024797838	0.0463414046480462	6.26251854613582e-15	"NMF1"	0.387009934307061
"FORALL_044"	0.344013245760405	5.1224150119317e-15	9.57009632282751e-07	0.0403327828377846	5.1224150119317e-15	0.135864583817223	5.1224150119317e-15	5.1224150119317e-15	8.54293538136487e-07	0.0194136650847768	0.0844235357905007	0.0487930865984932	0.327157288807626	"NMF1"	0.344013245760405
"FORALL_144"	0.294534167832483	0.0920011002593241	0.0515270898541814	9.11815904895255e-12	0.0576362465710199	0.154852155200292	0.117499196192361	5.0822415484964e-15	5.0822415484964e-15	5.0822415484964e-15	0.231950044081195	5.0822415484964e-15	5.0822415484964e-15	"NMF1"	0.294534167832483
"FORALL_121"	4.66804258053591e-15	0.954325924893405	4.66804258053591e-15	4.66804258053591e-15	4.66804258053591e-15	4.66804258053591e-15	4.66804258053591e-15	4.66804258053591e-15	4.66804258053591e-15	0.0456740751065441	4.66804258053591e-15	4.66804258053591e-15	4.66804258053591e-15	"NMF2"	0.954325924893405
"FORALL_024"	4.22465058670025e-15	0.855473259404596	4.22465058670025e-15	4.22465058670025e-15	4.22465058670025e-15	4.22465058670025e-15	4.22465058670025e-15	0.122140716334014	4.22465058670025e-15	4.22465058670025e-15	0.0223860242613483	4.22465058670025e-15	4.22465058670025e-15	"NMF2"	0.855473259404596
"FORALL_008"	4.80047836213571e-15	0.844213568584007	4.80047836213571e-15	4.80047836213571e-15	4.80047836213571e-15	4.80047836213571e-15	4.80047836213571e-15	4.80047836213571e-15	4.80047836213571e-15	0.11626134212299	4.80047836213571e-15	4.80047836213571e-15	0.0395250892929553	"NMF2"	0.844213568584007
"FORALL_110"	4.29411611913767e-15	0.819656380769779	4.29411611913767e-15	4.29411611913767e-15	4.29411611913767e-15	4.29411611913767e-15	4.29411611913767e-15	0.180343619230174	4.29411611913767e-15	4.29411611913767e-15	4.29411611913767e-15	4.29411611913767e-15	4.29411611913767e-15	"NMF2"	0.819656380769779
"FORALL_158"	4.28596904649885e-15	0.796239974996375	4.28596904649885e-15	4.28596904649885e-15	4.28596904649885e-15	4.28596904649885e-15	4.28596904649885e-15	0.203760025003578	4.28596904649885e-15	4.28596904649885e-15	4.28596904649885e-15	4.28596904649885e-15	4.28596904649885e-15	"NMF2"	0.796239974996375
"FORALL_135"	4.54925583214908e-15	0.789515567404973	0.00777614026081371	4.54925583214908e-15	4.54925583214908e-15	4.54925583214908e-15	4.54925583214908e-15	4.54925583214908e-15	0.047472610787653	4.54925583214908e-15	4.54925583214908e-15	0.0105446075464546	0.144691074000069	"NMF2"	0.789515567404973
"FORALL_077"	4.94843331355427e-15	0.723919785631931	4.94843331355427e-15	4.94843331355427e-15	0.000367233635414219	4.94843331355427e-15	4.94843331355427e-15	4.94843331355427e-15	0.0301395476917618	4.94843331355427e-15	0.245573433040848	4.94843331355427e-15	4.94843331355427e-15	"NMF2"	0.723919785631931
"FORALL_055"	0.0423896823628002	0.706052164301317	0.0778926674553099	4.92512716957055e-15	0.0468332996541899	0.00799010177661061	4.92512716957055e-15	0.0745694756631454	4.92512716957055e-15	4.92512716957055e-15	4.92512716957055e-15	0.0442726087865976	4.92512716957055e-15	"NMF2"	0.706052164301317
"FORALL_049"	4.38395474213722e-15	0.697499824940721	4.38395474213722e-15	4.38395474213722e-15	4.38395474213722e-15	4.38395474213722e-15	4.38395474213722e-15	3.30682823810605e-07	4.38395474213722e-15	4.38395474213722e-15	4.38395474213722e-15	0.169452962272998	0.133046882103418	"NMF2"	0.697499824940721
"FORALL_042"	4.58895614112514e-15	0.614695921592336	0.0927441853668757	4.58895614112514e-15	4.58895614112514e-15	4.58895614112514e-15	4.58895614112514e-15	4.58895614112514e-15	0.0549527975721833	4.58895614112514e-15	0.228868246061706	4.58895614112514e-15	0.00873884940686224	"NMF2"	0.614695921592336
"FORALL_046"	0.0803530036989683	0.613702789469353	4.33228765616989e-15	4.33228765616989e-15	4.33228765616989e-15	4.33228765616989e-15	9.69432020435447e-05	4.33228765616989e-15	4.33228765616989e-15	0.305843348107767	4.33228765616989e-15	4.33228765616989e-15	3.91552183300195e-06	"NMF2"	0.613702789469353
"FORALL_151"	5.46328679621944e-15	0.420899056153754	8.72338134449805e-14	5.46328679621944e-15	5.46328679621944e-15	0.148440871329812	5.46328679621944e-15	5.46328679621944e-15	5.46328679621944e-15	0.0313701988794506	0.347837294337764	0.051452579299094	5.46328679621944e-15	"NMF2"	0.420899056153754
"FORALL_017"	4.77244928167203e-15	0.38626781851686	0.026618340274405	4.77244928167203e-15	0.075490376319522	4.77244928167203e-15	4.77244928167203e-15	4.77244928167203e-15	0.195477651449945	4.77244928167203e-15	0.31614581343923	4.77244928167203e-15	4.77244928167203e-15	"NMF2"	0.38626781851686
"FORALL_034"	3.11324609257294e-15	3.11324609257294e-15	0.999999999999963	3.11324609257294e-15	3.11324609257294e-15	3.11324609257294e-15	3.11324609257294e-15	3.11324609257294e-15	3.11324609257294e-15	3.11324609257294e-15	3.11324609257294e-15	3.11324609257294e-15	3.11324609257294e-15	"NMF3"	0.999999999999963
"FORALL_112"	3.23735215999798e-15	3.23735215999798e-15	0.999999999999961	3.23735215999798e-15	3.23735215999798e-15	3.23735215999798e-15	3.23735215999798e-15	3.23735215999798e-15	3.23735215999798e-15	3.23735215999798e-15	3.23735215999798e-15	3.23735215999798e-15	3.23735215999798e-15	"NMF3"	0.999999999999961
"FORALL_154"	3.2714653754536e-15	3.2714653754536e-15	0.999999999999961	3.2714653754536e-15	3.2714653754536e-15	3.2714653754536e-15	3.2714653754536e-15	3.2714653754536e-15	3.2714653754536e-15	3.2714653754536e-15	3.2714653754536e-15	3.2714653754536e-15	3.2714653754536e-15	"NMF3"	0.999999999999961
"FORALL_047"	3.28731362054725e-15	3.28731362054725e-15	0.999999999999961	3.28731362054725e-15	3.28731362054725e-15	3.28731362054725e-15	3.28731362054725e-15	3.28731362054725e-15	3.28731362054725e-15	3.28731362054725e-15	3.28731362054725e-15	3.28731362054725e-15	3.28731362054725e-15	"NMF3"	0.999999999999961
"FORALL_040"	4.1655747877829e-15	0.150585664423555	0.392072102039334	4.1655747877829e-15	4.1655747877829e-15	4.1655747877829e-15	0.328881645938914	4.1655747877829e-15	4.1655747877829e-15	0.12846058759816	4.1655747877829e-15	4.1655747877829e-15	4.1655747877829e-15	"NMF3"	0.392072102039334
"FORALL_104"	5.92418857024955e-15	5.92418857024955e-15	5.92418857024955e-15	0.999999999999929	5.92418857024955e-15	5.92418857024955e-15	5.92418857024955e-15	5.92418857024955e-15	5.92418857024955e-15	5.92418857024955e-15	5.92418857024955e-15	5.92418857024955e-15	5.92418857024955e-15	"NMF4"	0.999999999999929
"FORALL_139"	5.96262996757912e-15	5.96262996757912e-15	5.96262996757912e-15	0.98711418150883	5.96262996757912e-15	5.96262996757912e-15	5.96262996757912e-15	5.96262996757912e-15	5.96262996757912e-15	0.0128858184911044	5.96262996757912e-15	5.96262996757912e-15	5.96262996757912e-15	"NMF4"	0.98711418150883
"FORALL_082"	6.34016246361928e-15	6.34016246361928e-15	6.34016246361928e-15	0.805398997399547	6.34016246361928e-15	6.34016246361928e-15	6.34016246361928e-15	6.34016246361928e-15	0.0769278446148256	6.34016246361928e-15	0.0724355712443336	0.0452375867412371	6.34016246361928e-15	"NMF4"	0.805398997399547
"FORALL_043"	6.102110566066e-15	0.00160684918920186	6.102110566066e-15	0.723265223861978	6.102110566066e-15	6.102110566066e-15	6.102110566066e-15	6.102110566066e-15	6.102110566066e-15	6.102110566066e-15	0.27512792694876	6.102110566066e-15	6.102110566066e-15	"NMF4"	0.723265223861978
"FORALL_050"	5.7526199540057e-15	5.7526199540057e-15	5.7526199540057e-15	0.687248943418214	5.7526199540057e-15	5.7526199540057e-15	5.7526199540057e-15	0.026372688373811	5.7526199540057e-15	0.0446416339661483	5.7526199540057e-15	0.089258863180654	0.152477871061127	"NMF4"	0.687248943418214
"FORALL_005"	4.31985679187748e-15	4.31985679187748e-15	0.0401022747045732	0.679073958176396	0.0102882501661744	4.31985679187748e-15	4.31985679187748e-15	0.00525980843754632	4.31985679187748e-15	4.31985679187748e-15	0.049324195725705	0.215951512789574	4.31985679187748e-15	"NMF4"	0.679073958176396
"FORALL_122"	7.40307543269298e-15	7.40307543269298e-15	7.40307543269298e-15	0.647269825281027	7.40307543269298e-15	7.40307543269298e-15	7.40307543269298e-15	7.40307543269298e-15	7.40307543269298e-15	0.18544966896763	0.0549008244545608	7.40307543269298e-15	0.112379681296716	"NMF4"	0.647269825281027
"FORALL_088"	6.40594756942616e-15	6.40594756942616e-15	6.40594756942616e-15	0.642753819462724	6.40594756942616e-15	6.40594756942616e-15	6.40594756942616e-15	6.40594756942616e-15	6.40594756942616e-15	0.19014157604584	9.46899094132649e-07	6.40594756942616e-15	0.167103657592285	"NMF4"	0.642753819462724
"FORALL_001"	5.62848295050658e-07	4.96693349127378e-15	0.0783584819874882	0.638733745949942	0.00086214502107891	4.96693349127378e-15	0.0867284959724281	7.75503347941656e-11	4.96693349127378e-15	4.96693349127378e-15	0.179403103605077	0.015913464538116	4.96693349127378e-15	"NMF4"	0.638733745949942
"FORALL_041"	0.0201298367067173	6.23496539061327e-15	0.00199493185252089	0.58341192592372	6.23496539061327e-15	6.23496539061327e-15	6.23496539061327e-15	6.23496539061327e-15	6.23496539061327e-15	6.23496539061327e-15	0.344704474307501	0.0276534964626891	0.0221053347468083	"NMF4"	0.58341192592372
"FORALL_089"	5.19456143496057e-15	0.0126543973012929	0.0144361322872544	0.573644645389086	0.190244936726918	0.0326546749622834	5.19456143496057e-15	5.19456143496057e-15	0.0301025309284137	0.0741004469181535	0.0314598916912783	5.19456143496057e-15	0.0407023437952997	"NMF4"	0.573644645389086
"FORALL_160"	6.28915791522696e-15	0.0469892253797619	6.28915791522696e-15	0.572408593992645	6.28915791522696e-15	6.28915791522696e-15	6.28915791522696e-15	0.219190451092004	0.0835665720585854	6.28915791522696e-15	0.0214285657063572	6.28915791522696e-15	0.0564165917706026	"NMF4"	0.572408593992645
"FORALL_120"	0.0803693885512232	6.48357567474049e-15	6.48357567474049e-15	0.55910679105233	6.48357567474049e-15	0.0562846450359201	6.48357567474049e-15	6.48357567474049e-15	6.48357567474049e-15	0.104241013166762	6.48357567474049e-15	0.0373205240848912	0.162677638108829	"NMF4"	0.55910679105233
