"ID"	"Description"	"GeneRatio"	"BgRatio"	"RichFactor"	"FoldEnrichment"	"zScore"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"	"cluster"	"Module"	"NMF"	"dir"
"REACTOME_DEGRADATION_OF_DVL"	"REACTOME_DEGRADATION_OF_DVL"	"22/991"	"40/7434"	0.55	4.12583249243189	7.77375415211702	4.67750082689793e-10	6.51108115104192e-07	5.77548259994871e-07	"PSMC3/PSMD1/RBX1/PSMC4/CUL3/PSMD12/PSMD7/PSMC1/PSMB4/PSMD14/PSMD13/PSMB3/PSMC5/PSMB2/PSMA5/PSMD11/DVL3/PSMC6/ADRM1/PSMA7/RPS27A/KLHL12"	22	1	"PTBP1_FORALL_032"	"NMF1"	"high"
"REACTOME_FBXL7_DOWN_REGULATES_AURKA_DURING_MITOTIC_ENTRY_AND_IN_EARLY_MITOSIS"	"REACTOME_FBXL7_DOWN_REGULATES_AURKA_DURING_MITOTIC_ENTRY_AND_IN_EARLY_MITOSIS"	"20/991"	"37/7434"	0.540540540540541	4.05487222843429	7.30534837118945	4.40642192509162e-09	3.06686965986377e-06	2.72038574638551e-06	"PSMC3/PSMD1/RBX1/PSMC4/PSMD12/PSMD7/PSMC1/PSMB4/PSMD14/PSMD13/FBXL18/PSMB3/PSMC5/PSMB2/PSMA5/PSMD11/PSMC6/ADRM1/PSMA7/RPS27A"	20	1	"PTBP1_FORALL_032"	"NMF1"	"high"
"REACTOME_AUF1_HNRNP_D0_BINDS_AND_DESTABILIZES_MRNA"	"REACTOME_AUF1_HNRNP_D0_BINDS_AND_DESTABILIZES_MRNA"	"19/991"	"37/7434"	0.513513513513513	3.85212861701257	6.82051214868472	3.28701687526963e-08	6.53646784339332e-06	5.79800119502448e-06	"HNRNPD/PSMC3/PSMD1/PSMC4/PSMD12/PSMD7/PSMC1/PSMB4/PSMD14/PSMD13/PSMB3/PSMC5/PSMB2/PSMA5/PSMD11/PSMC6/ADRM1/PSMA7/RPS27A"	19	1	"PTBP1_FORALL_032"	"NMF1"	"high"
"REACTOME_STABILIZATION_OF_P53"	"REACTOME_STABILIZATION_OF_P53"	"20/991"	"40/7434"	0.5	3.75075681130172	6.84096388245181	2.56531902088923e-08	6.53646784339332e-06	5.79800119502448e-06	"PSMC3/PSMD1/PSMC4/PSMD12/PSMD7/PSMC1/PSMB4/PSMD14/PSMD13/PSMB3/PSMC5/PSMB2/PSMA5/PSMD11/PSMC6/CHEK2/ADRM1/PSMA7/TP53/RPS27A"	20	1	"PTBP1_FORALL_032"	"NMF1"	"high"
"REACTOME_REGULATION_OF_APOPTOSIS"	"REACTOME_REGULATION_OF_APOPTOSIS"	"18/991"	"36/7434"	0.5	3.75075681130172	6.48815343719817	1.29387262555086e-07	1.000594830426e-05	8.87551222088397e-06	"PSMC3/PSMD1/PSMC4/PSMD12/PSMD7/PSMC1/PSMB4/PSMD14/PSMD13/PSMB3/PSMC5/PSMB2/PSMA5/PSMD11/PSMC6/ADRM1/PSMA7/RPS27A"	18	1	"PTBP1_FORALL_032"	"NMF1"	"high"
"REACTOME_CROSS_PRESENTATION_OF_SOLUBLE_EXOGENOUS_ANTIGENS_ENDOSOMES"	"REACTOME_CROSS_PRESENTATION_OF_SOLUBLE_EXOGENOUS_ANTIGENS_ENDOSOMES"	"18/991"	"37/7434"	0.486486486486487	3.64938500559086	6.33567592617999	2.20824509315245e-07	1.33646833463835e-05	1.185478944745e-05	"PSMC3/PSMD1/PSMC4/PSMD12/PSMD7/PSMC1/PSMB4/PSMD14/PSMD13/PSMB3/PSMC5/PSMB2/PSMA5/PSMD11/PSMC6/PSMB9/ADRM1/PSMA7"	18	1	"PTBP1_FORALL_032"	"NMF1"	"high"
"REACTOME_HEDGEHOG_LIGAND_BIOGENESIS"	"REACTOME_HEDGEHOG_LIGAND_BIOGENESIS"	"19/991"	"41/7434"	0.463414634146341	3.47631119096257	6.23536130543716	2.68139509616798e-07	1.43557768225609e-05	1.273391274415e-05	"ADAM17/PSMC3/PSMD1/PSMC4/PSMD12/PSMD7/PSMC1/PSMB4/PSMD14/PSMD13/PSMB3/PSMC5/PSMB2/PSMA5/PSMD11/PSMC6/ADRM1/PSMA7/RPS27A"	19	1	"PTBP1_FORALL_032"	"NMF1"	"high"
"REACTOME_REGULATION_OF_RUNX3_EXPRESSION_AND_ACTIVITY"	"REACTOME_REGULATION_OF_RUNX3_EXPRESSION_AND_ACTIVITY"	"19/991"	"41/7434"	0.463414634146341	3.47631119096257	6.23536130543716	2.68139509616798e-07	1.43557768225609e-05	1.273391274415e-05	"PSMC3/PSMD1/PSMC4/PSMD12/PSMD7/PSMC1/PSMB4/PSMD14/PSMD13/PSMB3/PSMC5/PSMB2/PSMA5/PSMD11/PSMC6/ADRM1/PSMA7/RPS27A/SRC"	19	1	"PTBP1_FORALL_032"	"NMF1"	"high"
"REACTOME_DEFECTIVE_CFTR_CAUSES_CYSTIC_FIBROSIS"	"REACTOME_DEFECTIVE_CFTR_CAUSES_CYSTIC_FIBROSIS"	"19/991"	"42/7434"	0.452380952380952	3.39354187689203	6.1004170227445	4.29049503316054e-07	1.92657067295467e-05	1.70891364139128e-05	"PSMC3/PSMD1/PSMC4/PSMD12/PSMD7/PSMC1/PSMB4/PSMD14/PSMD13/PSMB3/PSMC5/PSMB2/PSMA5/PSMD11/RNF5/PSMC6/ADRM1/PSMA7/RPS27A"	19	1	"PTBP1_FORALL_032"	"NMF1"	"high"
"REACTOME_G1_S_DNA_DAMAGE_CHECKPOINTS"	"REACTOME_G1_S_DNA_DAMAGE_CHECKPOINTS"	"22/991"	"50/7434"	0.44	3.30066599394551	6.40129083620932	9.68268273695779e-08	8.98552957989683e-06	7.97037673715894e-06	"PSMC3/PSMD1/PSMC4/PSMD12/CCNA2/PSMD7/PSMC1/PSMB4/PSMD14/PSMD13/PSMB3/PSMC5/PSMB2/PSMA5/PSMD11/PSMC6/CHEK2/ADRM1/PSMA7/TP53/RPS27A/ZNF385A"	22	1	"PTBP1_FORALL_032"	"NMF1"	"high"
"REACTOME_REGULATION_OF_RAS_BY_GAPS"	"REACTOME_REGULATION_OF_RAS_BY_GAPS"	"22/991"	"50/7434"	0.44	3.30066599394551	6.40129083620932	9.68268273695779e-08	8.98552957989683e-06	7.97037673715894e-06	"PSMC3/PSMD1/RBX1/PSMC4/CUL3/PSMD12/PSMD7/PSMC1/PSMB4/PSMD14/PSMD13/PSMB3/PSMC5/PSMB2/PSMA5/PSMD11/PSMC6/ADRM1/PSMA7/RPS27A/NRAS/RASAL1"	22	1	"PTBP1_FORALL_032"	"NMF1"	"high"
