"SymbolA"	"SymbolB"
"1"	"POTEF"	"ADA"
"2"	"RPL13"	"BEND7"
"3"	"RBBP4"	"BEND7"
"4"	"RPL36"	"BEND7"
"5"	"RPL4"	"BEND7"
"6"	"RPS3"	"BEND7"
"7"	"C1QBP"	"BEND7"
"8"	"LRP4"	"BEND7"
"9"	"KPNA1"	"BEND7"
"10"	"HSPA8"	"CCNI2"
"11"	"LARP1B"	"CCNI2"
"12"	"CDK5"	"CCNI2"
"13"	"SLC39A11"	"CD33"
"14"	"PEX19"	"CD33"
"15"	"CD33"	"CALM3"
"16"	"COMMD3"	"CD33"
"17"	"HSPA8"	"DRG2"
"18"	"RWDD1"	"DRG2"
"19"	"MAPK13"	"DRG2"
"20"	"VRK2"	"FAM187B"
"21"	"FAM187B"	"CANX"
"22"	"HSPA5"	"FAM187B"
"23"	"SPPL2B"	"FAM187B"
"24"	"SLC25A6"	"FAM187B"
"25"	"RPL23"	"FAM187B"
"26"	"TUBA1A"	"FAM187B"
"27"	"TUBA1C"	"FAM187B"
"28"	"SOAT1"	"FAM187B"
"29"	"MOSPD2"	"FAM187B"
"30"	"KCNAB2"	"HAO1"
"31"	"HSPBP1"	"HSPA8"
"32"	"POTEF"	"HSPBP1"
"33"	"HSPBP1"	"C10orf137"
"34"	"NT5C2"	"HSPBP1"
"35"	"HSPBP1"	"ELF2"
"36"	"YWHAQ"	"KIAA0930"
"37"	"YWHAB"	"KIAA0930"
"38"	"SFN"	"KIAA0930"
"39"	"YWHAG"	"KIAA0930"
"40"	"YWHAE"	"KIAA0930"
"41"	"YWHAZ"	"KIAA0930"
"42"	"YWHAH"	"KIAA0930"
"43"	"KIAA0930"	"CDK5RAP1"
"44"	"KLHL11"	"KIAA0930"
"45"	"KIAA0930"	"ATG7"
"46"	"WRN"	"KIAA0930"
"47"	"SIRT2"	"KIAA0930"
"48"	"KIAA1967"	"HSPA8"
"49"	"KIAA1967"	"KCNAB2"
"50"	"KIAA1967"	"HAO1"
"51"	"KIAA1967"	"CEP170"
"52"	"TUBB3"	"KIAA1967"
"53"	"TUBB8"	"KIAA1967"
"54"	"MCC"	"KIAA1967"
"55"	"POTEF"	"LPGAT1"
"56"	"LPGAT1"	"ACTBL2"
"57"	"LRRC28"	"HSPD1"
"58"	"LRRC28"	"HSP90AB4P"
"59"	"LRRC28"	"HSPA8"
"60"	"LRRC28"	"HSPA1L"
"61"	"LRRC28"	"CUL5"
"62"	"SUGT1"	"LRRC28"
"63"	"LRRC28"	"AMBRA1"
"64"	"MAGEA10"	"KAT2A"
"65"	"MAGEA10"	"KAT2B"
"66"	"NCOA2"	"MAGEA10"
"67"	"MAGEA10"	"CSRP2BP"
"68"	"YEATS2"	"MAGEA10"
"69"	"MAGEA9B"	"MAGEA10"
"70"	"POTEF"	"MAGEA10"
"71"	"MAGEA10"	"ACTB"
"72"	"MAGEA10"	"CUX1"
"73"	"MAGEA10"	"ANKRD32"
"74"	"PHF8"	"MAGEA10"
"75"	"SATB2"	"MAGEA10"
"76"	"NRIP1"	"MAGEA10"
"77"	"ZZZ3"	"MAGEA10"
"78"	"RPS4X"	"MAGEA10"
"79"	"QSER1"	"MAGEA10"
"80"	"MAGEA10"	"ERI1"
"81"	"VPS37C"	"MAGEA10"
"82"	"MAGEA10"	"FOXJ2"
"83"	"PES1"	"MAGEA10"
"84"	"TADA3"	"MAGEA10"
"85"	"MAGEA10"	"FAM216A"
"86"	"PKN1"	"MAGEA10"
"87"	"POU2F1"	"MAGEA10"
"88"	"MAGEA10"	"CCDC106"
"89"	"MAGEA10"	"CCHCR1"
"90"	"MAGEA10"	"CRTC3"
"91"	"VPS72"	"MAGEA10"
"92"	"POTEF"	"MAPK13"
"93"	"ARPC2"	"ARPC1B"
"94"	"ARPC5L"	"ARPC1B"
"95"	"ARPC5"	"ARPC1B"
"96"	"ARPC1B"	"ACTR2"
"97"	"ARPC3"	"ARPC1B"
"98"	"ARPC1B"	"ACTR3B"
"99"	"ARPC1B"	"ACTR3"
"100"	"ARPC4"	"ARPC1B"
"101"	"POGK"	"ARPC1B"
"102"	"NT5C"	"ARPC1B"
"103"	"UROD"	"PPID"
"104"	"PPM1K"	"DBT"
"105"	"PPM1K"	"BCKDHB"
"106"	"PPM1K"	"BCKDHA"
"107"	"RRS1"	"RPLP2"
"108"	"RRS1"	"RPLP1"
"109"	"RRS1"	"RPL4"
"110"	"RRS1"	"NCL"
"111"	"YBX1"	"RRS1"
"112"	"RRS1"	"CCDC137"
"113"	"RRS1"	"RBM28"
"114"	"RRS1"	"RPL7A"
"115"	"SF3B1"	"RRS1"
"116"	"RRS1"	"NOC4L"
"117"	"RRS1"	"RPS3A"
"118"	"RRS1"	"RPS14"
"119"	"RRS1"	"RPS10"
"120"	"RRS1"	"RPS2"
"121"	"RRS1"	"FTSJ3"
"122"	"RRS1"	"RPS3"
"123"	"RRS1"	"ILF3"
"124"	"RRS1"	"DDX21"
"125"	"RRS1"	"RPLP0"
"126"	"RRS1"	"RPL3"
"127"	"SRPK2"	"RRS1"
"128"	"RRS1"	"DHX30"
"129"	"RRS1"	"RPL6"
"130"	"RRS1"	"HIST1H1E"
"131"	"RRS1"	"HP1BP3"
"132"	"RRS1"	"DHX57"
"133"	"RRS1"	"RPS16"
"134"	"RRS1"	"MYBBP1A"
"135"	"U2AF2"	"RRS1"
"136"	"RRS1"	"APOBEC3C"
"137"	"RRS1"	"RBM19"
"138"	"ZCRB1"	"RRS1"
"139"	"RRS1"	"RPL18"
"140"	"RRS1"	"RPL8"
"141"	"ZC3HAV1"	"RRS1"
"142"	"RRS1"	"GRSF1"
"143"	"RSL1D1"	"RRS1"
"144"	"RRS1"	"MRPS34"
"145"	"RRS1"	"DAP3"
"146"	"RRS1"	"RPL14"
"147"	"RRS1"	"NPM1"
"148"	"RRS1"	"GTPBP4"
"149"	"RRS1"	"RRP1B"
"150"	"RRS1"	"RPS6"
"151"	"RRS1"	"NOP2"
"152"	"RRS1"	"MRPS7"
"153"	"RRS1"	"RPS20"
"154"	"RRS1"	"GLTSCR2"
"155"	"RRS1"	"RPS19"
"156"	"RRS1"	"MKI67IP"
"157"	"RRS1"	"ABT1"
"158"	"RRS1"	"MRPS31"
"159"	"RRS1"	"RPS15"
"160"	"RRS1"	"GPATCH4"
"161"	"RRS1"	"MRPS9"
"162"	"RRS1"	"KRR1"
"163"	"RRS1"	"RPS8"
"164"	"RRS1"	"BRIX1"
"165"	"RRS1"	"BMS1"
"166"	"RRS1"	"RPL31"
"167"	"ZNF512"	"RRS1"
"168"	"RRS1"	"LYAR"
"169"	"RRS1"	"RPL17"
"170"	"RRS1"	"RPSA"
"171"	"RRS1"	"RPL15"
"172"	"RRS1"	"KIAA0020"
"173"	"RRS1"	"NOC3L"
"174"	"RRS1"	"RPL23A"
"175"	"RRS1"	"RPL36"
"176"	"RRS1"	"RPS13"
"177"	"RRS1"	"RPS28"
"178"	"RRS1"	"RPL32"
"179"	"RRS1"	"NSA2"
"180"	"RRS1"	"RBMS1"
"181"	"RRS1"	"MRPS35"
"182"	"RRS1"	"RPS9"
"183"	"RRS1"	"RPS18"
"184"	"RRS1"	"RPS17"
"185"	"RRS1"	"RPL13A"
"186"	"RRS1"	"FYTTD1"
"187"	"RRS1"	"RPL18A"
"188"	"RRS1"	"RBM34"
"189"	"RRS1"	"RPL37A"
"190"	"RRS1"	"RPF2"
"191"	"RRS1"	"RPL13"
"192"	"TRIM71"	"RRS1"
"193"	"RRS1"	"RBM4"
"194"	"RRS1"	"PURB"
"195"	"RRS1"	"PURA"
"196"	"RRS1"	"RPS25"
"197"	"SF3B4"	"RRS1"
"198"	"SRSF4"	"RRS1"
"199"	"SRSF5"	"RRS1"
"200"	"SRSF6"	"RRS1"
"201"	"STAU1"	"RRS1"
"202"	"RRS1"	"GLE1"
"203"	"RRS1"	"FARS2"
"204"	"RRS1"	"PRKRA"
"205"	"RRS1"	"RPS24"
"206"	"RRS1"	"RPL28"
"207"	"RRS1"	"RPL30"
"208"	"RRS1"	"RPS5"
"209"	"SCAF4"	"RRS1"
"210"	"RRS1"	"NIP7"
"211"	"RRS1"	"RPL11"
"212"	"SRSF3"	"RRS1"
"213"	"RRS1"	"RPL34"
"214"	"RRS1"	"HIST2H2AC"
"215"	"RRS1"	"RPL35A"
"216"	"SRSF1"	"RRS1"
"217"	"RRS1"	"RPS26"
"218"	"RRS1"	"FAU"
"219"	"RRS1"	"MRPL52"
"220"	"TPST1"	"HSPA5"
"221"	"UROD"	"POTEF"
"222"	"VASH1"	"HSPA8"
"223"	"LYAR"	"EBNA1BP2"
"224"	"RPL4"	"EBNA1BP2"
"225"	"RPL11"	"EBNA1BP2"
"226"	"RPLP0"	"EBNA1BP2"
"227"	"RPL3"	"EBNA1BP2"
"228"	"HIST1H1A"	"EBNA1BP2"
"229"	"HIST1H1E"	"EBNA1BP2"
