"V1"	"V2"	"complex"	"location_V1"	"location_V2"
"1"	"HDAC4"	"BCL6"	"BCL6-HDAC4 complex"	"Cytosol"	NA
"2"	"HDAC5"	"BCL6"	"BCL6-HDAC5 complex"	"Cytosol"	NA
"3"	"HDAC7"	"BCL6"	"BCL6-HDAC7 complex"	"Cytosol"	NA
"4"	"EP300"	"CREBBP"	"Multisubunit ACTR coactivator complex"	"Nuclear"	"Nuclear"
"5"	"KAT2B"	"EP300"	"Multisubunit ACTR coactivator complex"	"Nuclear"	"Nuclear"
"6"	"NCOA3"	"EP300"	"Multisubunit ACTR coactivator complex"	"Nuclear"	"Nuclear"
"7"	"KAT2B"	"CREBBP"	"Multisubunit ACTR coactivator complex"	"Nuclear"	"Nuclear"
"8"	"NCOA3"	"CREBBP"	"Multisubunit ACTR coactivator complex"	"Nuclear"	"Nuclear"
"9"	"NCOA3"	"KAT2B"	"Multisubunit ACTR coactivator complex"	"Nuclear"	"Nuclear"
"10"	"HPS4"	"HPS1"	"BLOC-3 (biogenesis of lysosome-related organelles complex 3)"	"Cytosol"	"Cytosol"
"11"	"HPS6"	"HPS3"	"BLOC-2 (biogenesis of lysosome-related organelles complex 2)"	"Cytosol"	"Cytosol"
"12"	"HPS6"	"HPS5"	"BLOC-2 (biogenesis of lysosome-related organelles complex 2)"	"Cytosol"	"Cytosol"
"13"	"HPS5"	"HPS3"	"BLOC-2 (biogenesis of lysosome-related organelles complex 2)"	"Cytosol"	"Cytosol"
"14"	"MUS81"	"CDS1"	"MUS81-CDS1 complex"	"Nuclear"	"Secretory"
"15"	"TBL1X"	"HDAC3"	"NCOR complex"	"Nuclear"	"Nuclear"
"16"	"NCOR1"	"HDAC3"	"NCOR complex"	"Nuclear"	"Nuclear"
"17"	"HDAC3"	"GPS2"	"NCOR complex"	"Nuclear"	"Nuclear"
"18"	"HDAC3"	"CORO2A"	"NCOR complex"	"Nuclear"	"Secretory"
"19"	"TBL1XR1"	"HDAC3"	"NCOR complex"	NA	"Nuclear"
"20"	"TBL1X"	"NCOR1"	"NCOR complex"	"Nuclear"	"Nuclear"
"21"	"TBL1X"	"GPS2"	"NCOR complex"	"Nuclear"	"Nuclear"
"22"	"TBL1X"	"CORO2A"	"NCOR complex"	"Nuclear"	"Secretory"
"23"	"TBL1XR1"	"TBL1X"	"NCOR complex"	NA	"Nuclear"
"24"	"NCOR1"	"GPS2"	"NCOR complex"	"Nuclear"	"Nuclear"
"25"	"NCOR1"	"CORO2A"	"NCOR complex"	"Nuclear"	"Secretory"
"26"	"TBL1XR1"	"NCOR1"	"NCOR complex"	NA	"Nuclear"
"27"	"GPS2"	"CORO2A"	"NCOR complex"	"Nuclear"	"Secretory"
"28"	"TBL1XR1"	"GPS2"	"NCOR complex"	NA	"Nuclear"
"29"	"TBL1XR1"	"CORO2A"	"NCOR complex"	NA	"Secretory"
"30"	"SNAPIN"	"BLOC1S1"	"BLOC-1 (biogenesis of lysosome-related organelles complex 1)"	"Cytosol"	NA
"31"	"SNAPIN"	"BLOC1S3"	"BLOC-1 (biogenesis of lysosome-related organelles complex 1)"	"Cytosol"	"Cytosol"
"32"	"SNAPIN"	"BLOC1S2"	"BLOC-1 (biogenesis of lysosome-related organelles complex 1)"	"Cytosol"	"Cytosol"
"33"	"SNAPIN"	"BLOC1S5"	"BLOC-1 (biogenesis of lysosome-related organelles complex 1)"	"Cytosol"	"Cytosol"
"34"	"SNAPIN"	"DTNBP1"	"BLOC-1 (biogenesis of lysosome-related organelles complex 1)"	"Cytosol"	"Cytosol"
"35"	"SNAPIN"	"BLOC1S4"	"BLOC-1 (biogenesis of lysosome-related organelles complex 1)"	"Cytosol"	"Cytosol"
"36"	"SNAPIN"	"BLOC1S6"	"BLOC-1 (biogenesis of lysosome-related organelles complex 1)"	"Cytosol"	"Cytosol"
"37"	"BLOC1S3"	"BLOC1S1"	"BLOC-1 (biogenesis of lysosome-related organelles complex 1)"	"Cytosol"	NA
"38"	"BLOC1S2"	"BLOC1S1"	"BLOC-1 (biogenesis of lysosome-related organelles complex 1)"	"Cytosol"	NA
"39"	"BLOC1S5"	"BLOC1S1"	"BLOC-1 (biogenesis of lysosome-related organelles complex 1)"	"Cytosol"	NA
"40"	"DTNBP1"	"BLOC1S1"	"BLOC-1 (biogenesis of lysosome-related organelles complex 1)"	"Cytosol"	NA
"41"	"BLOC1S4"	"BLOC1S1"	"BLOC-1 (biogenesis of lysosome-related organelles complex 1)"	"Cytosol"	NA
"42"	"BLOC1S6"	"BLOC1S1"	"BLOC-1 (biogenesis of lysosome-related organelles complex 1)"	"Cytosol"	NA
"43"	"BLOC1S3"	"BLOC1S2"	"BLOC-1 (biogenesis of lysosome-related organelles complex 1)"	"Cytosol"	"Cytosol"
"44"	"BLOC1S5"	"BLOC1S3"	"BLOC-1 (biogenesis of lysosome-related organelles complex 1)"	"Cytosol"	"Cytosol"
"45"	"DTNBP1"	"BLOC1S3"	"BLOC-1 (biogenesis of lysosome-related organelles complex 1)"	"Cytosol"	"Cytosol"
"46"	"BLOC1S4"	"BLOC1S3"	"BLOC-1 (biogenesis of lysosome-related organelles complex 1)"	"Cytosol"	"Cytosol"
"47"	"BLOC1S6"	"BLOC1S3"	"BLOC-1 (biogenesis of lysosome-related organelles complex 1)"	"Cytosol"	"Cytosol"
"48"	"BLOC1S5"	"BLOC1S2"	"BLOC-1 (biogenesis of lysosome-related organelles complex 1)"	"Cytosol"	"Cytosol"
"49"	"DTNBP1"	"BLOC1S2"	"BLOC-1 (biogenesis of lysosome-related organelles complex 1)"	"Cytosol"	"Cytosol"
"50"	"BLOC1S4"	"BLOC1S2"	"BLOC-1 (biogenesis of lysosome-related organelles complex 1)"	"Cytosol"	"Cytosol"
"51"	"BLOC1S6"	"BLOC1S2"	"BLOC-1 (biogenesis of lysosome-related organelles complex 1)"	"Cytosol"	"Cytosol"
"52"	"DTNBP1"	"BLOC1S5"	"BLOC-1 (biogenesis of lysosome-related organelles complex 1)"	"Cytosol"	"Cytosol"
"53"	"BLOC1S5"	"BLOC1S4"	"BLOC-1 (biogenesis of lysosome-related organelles complex 1)"	"Cytosol"	"Cytosol"
"54"	"BLOC1S6"	"BLOC1S5"	"BLOC-1 (biogenesis of lysosome-related organelles complex 1)"	"Cytosol"	"Cytosol"
"55"	"DTNBP1"	"BLOC1S4"	"BLOC-1 (biogenesis of lysosome-related organelles complex 1)"	"Cytosol"	"Cytosol"
"56"	"DTNBP1"	"BLOC1S6"	"BLOC-1 (biogenesis of lysosome-related organelles complex 1)"	"Cytosol"	"Cytosol"
"57"	"BLOC1S6"	"BLOC1S4"	"BLOC-1 (biogenesis of lysosome-related organelles complex 1)"	"Cytosol"	"Cytosol"
"58"	"ARPC2"	"ARPC1B"	"Arp2/3 protein complex"	"Cytosol"	"Cytosol"
"59"	"ARPC3"	"ARPC1B"	"Arp2/3 protein complex"	"Cytosol"	"Cytosol"
"60"	"ARPC5"	"ARPC1B"	"Arp2/3 protein complex"	"Cytosol"	"Cytosol"
"61"	"ARPC4"	"ARPC1B"	"Arp2/3 protein complex"	NA	"Cytosol"
"62"	"ARPC1B"	"ACTR3"	"Arp2/3 protein complex"	"Cytosol"	"Cytosol"
"63"	"ARPC1B"	"ACTR2"	"Arp2/3 protein complex"	"Cytosol"	"Cytosol"
"64"	"ARPC3"	"ARPC2"	"Arp2/3 protein complex"	"Cytosol"	"Cytosol"
"65"	"ARPC5"	"ARPC2"	"Arp2/3 protein complex"	"Cytosol"	"Cytosol"
"66"	"ARPC4"	"ARPC2"	"Arp2/3 protein complex"	NA	"Cytosol"
"67"	"ARPC2"	"ACTR3"	"Arp2/3 protein complex"	"Cytosol"	"Cytosol"
"68"	"ARPC2"	"ACTR2"	"Arp2/3 protein complex"	"Cytosol"	"Cytosol"
"69"	"ARPC5"	"ARPC3"	"Arp2/3 protein complex"	"Cytosol"	"Cytosol"
"70"	"ARPC4"	"ARPC3"	"Arp2/3 protein complex"	NA	"Cytosol"
"71"	"ARPC3"	"ACTR3"	"Arp2/3 protein complex"	"Cytosol"	"Cytosol"
"72"	"ARPC3"	"ACTR2"	"Arp2/3 protein complex"	"Cytosol"	"Cytosol"
"73"	"ARPC5"	"ARPC4"	"Arp2/3 protein complex"	"Cytosol"	NA
"74"	"ARPC5"	"ACTR3"	"Arp2/3 protein complex"	"Cytosol"	"Cytosol"
"75"	"ARPC5"	"ACTR2"	"Arp2/3 protein complex"	"Cytosol"	"Cytosol"
"76"	"ARPC4"	"ACTR3"	"Arp2/3 protein complex"	NA	"Cytosol"
"77"	"ARPC4"	"ACTR2"	"Arp2/3 protein complex"	NA	"Cytosol"
"78"	"ACTR3"	"ACTR2"	"Arp2/3 protein complex"	"Cytosol"	"Cytosol"
"79"	"PSME2"	"PSME1"	"PA28 complex"	"Cytosol"	"Cytosol"
"80"	"PSMD12"	"PSMD11"	"PA700 complex"	"Cytosol"	"Cytosol"
"81"	"PSMD9"	"PSMD11"	"PA700 complex"	"Cytosol"	"Cytosol"
"82"	"PSMD14"	"PSMD11"	"PA700 complex"	"Cytosol"	"Cytosol"
"83"	"PSMD3"	"PSMD11"	"PA700 complex"	"Cytosol"	"Cytosol"
"84"	"PSMD11"	"PSMD10"	"PA700 complex"	"Cytosol"	"Cytosol"
"85"	"PSMD11"	"PSMC3"	"PA700 complex"	"Cytosol"	"Cytosol"
"86"	"PSMD11"	"PSMC2"	"PA700 complex"	"Cytosol"	"Cytosol"
"87"	"PSMD11"	"PSMC4"	"PA700 complex"	"Cytosol"	"Cytosol"
"88"	"PSMD8"	"PSMD11"	"PA700 complex"	"Cytosol"	"Cytosol"
"89"	"PSMD7"	"PSMD11"	"PA700 complex"	"Cytosol"	"Cytosol"
"90"	"PSMD4"	"PSMD11"	"PA700 complex"	"Cytosol"	"Cytosol"
"91"	"PSMD11"	"PSMC1"	"PA700 complex"	"Cytosol"	"Cytosol"
"92"	"PSMD11"	"PSMC5"	"PA700 complex"	"Cytosol"	"Cytosol"
"93"	"PSMD11"	"PSMC6"	"PA700 complex"	"Cytosol"	"Cytosol"
"94"	"PSMD2"	"PSMD11"	"PA700 complex"	"Cytosol"	"Cytosol"
"95"	"PSMD6"	"PSMD11"	"PA700 complex"	"Cytosol"	"Cytosol"
"96"	"PSMD5"	"PSMD11"	"PA700 complex"	"Cytosol"	"Cytosol"
"97"	"PSMD11"	"PSMD1"	"PA700 complex"	"Cytosol"	"Cytosol"
"98"	"PSMD13"	"PSMD11"	"PA700 complex"	"Cytosol"	"Cytosol"
"99"	"PSMD9"	"PSMD12"	"PA700 complex"	"Cytosol"	"Cytosol"
"100"	"PSMD14"	"PSMD12"	"PA700 complex"	"Cytosol"	"Cytosol"
"101"	"PSMD3"	"PSMD12"	"PA700 complex"	"Cytosol"	"Cytosol"
