"V1"	"V2"	"gene_symbol1"	"gene_symbol2"
"1"	"ENSG00000000005"	"ENSG00000061656"	"TNMD"	"SPAG4"
"2"	"ENSG00000000005"	"ENSG00000099968"	"TNMD"	"BCL2L13"
"3"	"ENSG00000000005"	"ENSG00000104765"	"TNMD"	"BNIP3L"
"4"	"ENSG00000000005"	"ENSG00000105383"	"TNMD"	"CD33"
"5"	"ENSG00000000005"	"ENSG00000114455"	"TNMD"	"HHLA2"
"6"	"ENSG00000000005"	"ENSG00000124103"	"TNMD"	"FAM209A"
"7"	"ENSG00000000005"	"ENSG00000139637"	"TNMD"	"MYG1"
"8"	"ENSG00000000005"	"ENSG00000150337"	"TNMD"	"FCGR1A"
"9"	"ENSG00000000005"	"ENSG00000157613"	"TNMD"	"CREB3L1"
"10"	"ENSG00000000005"	"ENSG00000163472"	"TNMD"	"TMEM79"
"11"	"ENSG00000000005"	"ENSG00000167741"	"TNMD"	"GGT6"
"12"	"ENSG00000000005"	"ENSG00000169379"	"TNMD"	"ARL13B"
"13"	"ENSG00000000005"	"ENSG00000176171"	"TNMD"	"BNIP3"
"14"	"ENSG00000000005"	"ENSG00000181754"	"TNMD"	"AMIGO1"
"15"	"ENSG00000000005"	"ENSG00000184988"	"TNMD"	"TMEM106A"
"16"	"ENSG00000000005"	"ENSG00000242019"	"TNMD"	"KIR3DL3"
"17"	"ENSG00000000419"	"ENSG00000106511"	"MEOX2"	"DPM1"
"18"	"ENSG00000000419"	"ENSG00000151790"	"TDO2"	"DPM1"
"19"	"ENSG00000000457"	"ENSG00000034713"	"SCYL3"	"GABARAPL2"
"20"	"ENSG00000000457"	"ENSG00000100348"	"TXN2"	"SCYL3"
"21"	"ENSG00000000457"	"ENSG00000139112"	"SCYL3"	"GABARAPL1"
"22"	"ENSG00000000457"	"ENSG00000162624"	"SCYL3"	"LHX8"
"23"	"ENSG00000000457"	"ENSG00000198420"	"TCAF1"	"SCYL3"
"24"	"ENSG00000000460"	"ENSG00000149380"	"P4HA3"	"FIRRM"
"25"	"ENSG00000001036"	"ENSG00000085741"	"WNT11"	"FUCA2"
"26"	"ENSG00000001036"	"ENSG00000105576"	"TNPO2"	"FUCA2"
"27"	"ENSG00000001036"	"ENSG00000105991"	"HOXA1"	"FUCA2"
"28"	"ENSG00000001036"	"ENSG00000106511"	"MEOX2"	"FUCA2"
"29"	"ENSG00000001036"	"ENSG00000108256"	"NUFIP2"	"FUCA2"
"30"	"ENSG00000001036"	"ENSG00000127445"	"PIN1"	"FUCA2"
"31"	"ENSG00000001036"	"ENSG00000138867"	"GUCD1"	"FUCA2"
"32"	"ENSG00000001036"	"ENSG00000186226"	"LCE1E"	"FUCA2"
"33"	"ENSG00000001036"	"ENSG00000186844"	"LCE1A"	"FUCA2"
"34"	"ENSG00000001036"	"ENSG00000187170"	"LCE4A"	"FUCA2"
"35"	"ENSG00000001036"	"ENSG00000188730"	"VWC2"	"FUCA2"
"36"	"ENSG00000001036"	"ENSG00000196224"	"KRTAP5-3"	"FUCA2"
"37"	"ENSG00000001036"	"ENSG00000196734"	"LCE1B"	"FUCA2"
"38"	"ENSG00000001036"	"ENSG00000205867"	"KRTAP5-2"	"FUCA2"
"39"	"ENSG00000001036"	"ENSG00000213416"	"KRTAP4-12"	"FUCA2"
"40"	"ENSG00000001036"	"ENSG00000215455"	"KRTAP10-1"	"FUCA2"
"41"	"ENSG00000001167"	"ENSG00000062725"	"NFYA"	"APPBP2"
"42"	"ENSG00000001167"	"ENSG00000066136"	"NFYC"	"NFYA"
"43"	"ENSG00000001167"	"ENSG00000101266"	"NFYA"	"CSNK2A1"
"44"	"ENSG00000001167"	"ENSG00000120837"	"NFYB"	"NFYA"
"45"	"ENSG00000001167"	"ENSG00000124788"	"NFYA"	"ATXN1"
"46"	"ENSG00000001167"	"ENSG00000135482"	"ZC3H10"	"NFYA"
"47"	"ENSG00000001167"	"ENSG00000136451"	"VEZF1"	"NFYA"
"48"	"ENSG00000001167"	"ENSG00000143190"	"POU2F1"	"NFYA"
"49"	"ENSG00000001167"	"ENSG00000143442"	"POGZ"	"NFYA"
"50"	"ENSG00000001167"	"ENSG00000146963"	"NFYA"	"LUC7L2"
"51"	"ENSG00000001167"	"ENSG00000161202"	"NFYA"	"DVL3"
"52"	"ENSG00000001167"	"ENSG00000165417"	"NFYA"	"GTF2A1"
"53"	"ENSG00000001167"	"ENSG00000172530"	"NFYA"	"BANP"
"54"	"ENSG00000001167"	"ENSG00000198218"	"QRICH1"	"NFYA"
"55"	"ENSG00000001167"	"ENSG00000198258"	"UBL5"	"NFYA"
"56"	"ENSG00000001167"	"ENSG00000198420"	"TCAF1"	"NFYA"
"57"	"ENSG00000001461"	"ENSG00000101363"	"NIPAL3"	"MANBAL"
"58"	"ENSG00000001461"	"ENSG00000105369"	"NIPAL3"	"CD79A"
"59"	"ENSG00000001461"	"ENSG00000137210"	"TMEM14B"	"NIPAL3"
"60"	"ENSG00000001461"	"ENSG00000158813"	"NIPAL3"	"EDA"
"61"	"ENSG00000001461"	"ENSG00000160131"	"VMA21"	"NIPAL3"
"62"	"ENSG00000001461"	"ENSG00000164294"	"NIPAL3"	"GPX8"
"63"	"ENSG00000001461"	"ENSG00000168958"	"NIPAL3"	"MFF"
"64"	"ENSG00000001461"	"ENSG00000185883"	"NIPAL3"	"ATP6V0C"
"65"	"ENSG00000001461"	"ENSG00000265107"	"NIPAL3"	"GJA5"
"66"	"ENSG00000001561"	"ENSG00000105677"	"TMEM147"	"ENPP4"
"67"	"ENSG00000001561"	"ENSG00000139644"	"TMBIM6"	"ENPP4"
"68"	"ENSG00000001631"	"ENSG00000078140"	"UBE2K"	"KRIT1"
"70"	"ENSG00000002016"	"ENSG00000005102"	"RAD52"	"MEOX1"
"71"	"ENSG00000002016"	"ENSG00000066136"	"RAD52"	"NFYC"
"72"	"ENSG00000002016"	"ENSG00000102753"	"RAD52"	"KPNA3"
"73"	"ENSG00000002016"	"ENSG00000106511"	"RAD52"	"MEOX2"
"74"	"ENSG00000002016"	"ENSG00000173846"	"RAD52"	"PLK3"
"75"	"ENSG00000002016"	"ENSG00000196092"	"RAD52"	"PAX5"
