"ENTITYA"	"ENTITYB"	"EFFECT"	"MECHANISM"	"SENTENCE"	"SCORE"	"SIGNOR_ID"
"3"	"RAD50"	"ATM"	"unknown"	"phosphorylation"	"The ms/ms fragmentation spectra (figure s7) confirmed the phosphorylation of rad50 at the predicted atm substrate site, s635, in agreement with published data"	0.813	"SIGNOR-156077"
"4"	"CDKN2B"	"CDK4"	"down-regulates"	"binding"	"We present evidence that the different subcellular location of p15 and p27 ensures the prior access of p15 to cdk4. In the cell, p15 is localized mostly in the cytoplasm, whereas p27 is nuclear. p15 prevails over p27 or a p27 construct consisting of the cdk inhibitory domain tagged with a nuclear localization signal. However, when p15 and p27 are forced to reside in the same subcellular location, either the cytoplasm or the nucleus, p15 no longer prevents p27 from binding to cdk4. These properties allow p15 and p27 to coordinately inhibit cdk4 and cdk2."	0.878	"SIGNOR-46758"
"6"	"PPP2CA"	"FCAR"	"up-regulates activity"	"dephosphorylation"	"Furthermore, FcalphaRI activation is induced by protein phosphatase 2A (PP2A) after it dephosphorylates a single serine residue (S263) in the FcalphaRI intracellular tail"	0.324	"SIGNOR-264858"
"7"	"JAK2"	"IL10RA"	"up-regulates activity"	"phosphorylation"	"IL10R2 recruits cytoplasmic protein Jak1 followed by phosphorylation of tyrosine at position 705 in the STAT3 (705Y-STAT3) molecule. Phosphorylated STAT3 forms a homodimer, which is then translocated to the nucleus to facilitate transcriptional regulation of target genes."	0.43	"SIGNOR-249545"
"9"	"SPEN"	"MSX2"	"up-regulates"	"binding"	"Furthermore, in addition to msx2, both tlx1 and nkx2-5 proteins interacted with notch-pathway repressors, spen/mint/sharp and tle1/grg1, representing a potential mechanism for (de)regulation."	0.482	"SIGNOR-188572"
"11"	"STAT3"	"MFGE8"	"up-regulates activity"	""	"In an attempt to clarify the direct anti-inflammatory role of MFG-E8, we revealed a distinct signaling pathway where MFG-E8 activates suppressor of cytokine signaling (SOCS) 3 gene expression via STAT3 mediated pathway, which in turn served as a negative regulator for LPS induced TLR4 signaling by targeting NF-κB p65 component, thereby attenuating the down-stream signaling for TNF-α production"	0.276	"SIGNOR-260654"
"12"	"PLK1"	"CDC6"	"up-regulates"	"phosphorylation"	"Binding between cdc6 and plk1 occurs through the polo-box domain of plk1, and cdc6 is phosphorylated by plk1 on t37. These results suggest that plk1-mediated phosphorylation of cdc6 promotes the interaction of cdc6 and cdk1, leading to the attenuation of cdk1 activity, release of separase, and subsequent anaphase progression."	0.566	"SIGNOR-169184"
"15"	"FOXO3"	"AKT1"	"down-regulates quantity by destabilization"	"phosphorylation"	"AKT phosphorylates FOXO3a at three conserved sites (Thr32, Ser253 and Ser315), therefore creating binding sites for the 14-3-3 chaperone proteins and leading to the active export of FOXO3a to the cytoplasm where it is targeted for proteasomal degradation."	0.909	"SIGNOR-249627"
"16"	"SIK2"	"IRS1"	"down-regulates quantity"	"phosphorylation"	"SIK2 is known to attenuate insulin signaling by phosphorylating IRS-1/Ser789"	0.567	"SIGNOR-265745"
"17"	"TFAP2A"	"ECM1"	"up-regulates quantity by expression"	"transcriptional regulation"	"Comparative cDNA microarray hybridization identified a set of genes induced by overexpression of AP2alpha and AP2gamma in HMECs. The up-regulation of cellular retinoic acid-binding protein 2 (CRABPII), EST-1, and ECM1 was induced by overexpression of AP2alpha, AP2gamma, or a chimeric AP2 factor in which the activation domain of AP2alpha was replaced by the activation domain of herpesvirus VP16."	0.2	"SIGNOR-255401"
