"protein1"	"protein2"	"combined_score"	"gene1"	"gene2"
"3"	"9606.ENSP00000000233"	"9606.ENSP00000434442"	499	"ARFGAP2"	"ARF5"
"4"	"9606.ENSP00000000233"	"9606.ENSP00000262455"	531	"ERP44"	"ARF5"
"5"	"9606.ENSP00000000233"	"9606.ENSP00000303145"	499	"TMED10"	"ARF5"
"11"	"9606.ENSP00000000233"	"9606.ENSP00000249923"	565	"COPB1"	"ARF5"
"15"	"9606.ENSP00000000233"	"9606.ENSP00000264028"	554	"ARF5"	"ARCN1"
"17"	"9606.ENSP00000000233"	"9606.ENSP00000386918"	499	"KDELR3"	"ARF5"
"19"	"9606.ENSP00000000233"	"9606.ENSP00000463393"	499	"SEC22B"	"ARF5"
"23"	"9606.ENSP00000000233"	"9606.ENSP00000310226"	499	"RAB1B"	"ARF5"
"28"	"9606.ENSP00000000233"	"9606.ENSP00000330945"	499	"TMED9"	"ARF5"
"32"	"9606.ENSP00000000233"	"9606.ENSP00000299705"	499	"TMED3"	"ARF5"
"39"	"9606.ENSP00000000233"	"9606.ENSP00000387286"	499	"RAB1A"	"ARF5"
"41"	"9606.ENSP00000000233"	"9606.ENSP00000402346"	604	"COPG2"	"ARF5"
"44"	"9606.ENSP00000000233"	"9606.ENSP00000262305"	657	"RAB11FIP3"	"ARF5"
"47"	"9606.ENSP00000000233"	"9606.ENSP00000469035"	580	"COPE"	"ARF5"
"48"	"9606.ENSP00000000233"	"9606.ENSP00000361057"	499	"SURF4"	"ARF5"
"50"	"9606.ENSP00000000233"	"9606.ENSP00000263245"	499	"ARFGAP3"	"ARF5"
"54"	"9606.ENSP00000000233"	"9606.ENSP00000484121"	457	"ARFIP2"	"ARF5"
"55"	"9606.ENSP00000000233"	"9606.ENSP00000483825"	562	"IKBKG"	"ARF5"
"57"	"9606.ENSP00000000233"	"9606.ENSP00000256682"	477	"ARF5"	"ARF3"
"64"	"9606.ENSP00000000233"	"9606.ENSP00000434412"	477	"SERPINH1"	"ARF5"
"69"	"9606.ENSP00000000233"	"9606.ENSP00000357048"	610	"COPA"	"ARF5"
"74"	"9606.ENSP00000000233"	"9606.ENSP00000325002"	604	"COPG1"	"ARF5"
"75"	"9606.ENSP00000000233"	"9606.ENSP00000264904"	499	"USO1"	"ARF5"
"78"	"9606.ENSP00000000233"	"9606.ENSP00000440005"	625	"ARF5"	"ARF1"
"87"	"9606.ENSP00000000233"	"9606.ENSP00000480707"	516	"COPZ2"	"ARF5"
"91"	"9606.ENSP00000000233"	"9606.ENSP00000306010"	675	"ARF5"	"ARF4"
"92"	"9606.ENSP00000000233"	"9606.ENSP00000405926"	499	"TMED7"	"ARF5"
"100"	"9606.ENSP00000000233"	"9606.ENSP00000329471"	499	"KDELR1"	"ARF5"
"102"	"9606.ENSP00000000233"	"9606.ENSP00000262225"	499	"TMED2"	"ARF5"
"104"	"9606.ENSP00000000233"	"9606.ENSP00000359000"	630	"GBF1"	"ARF5"
"107"	"9606.ENSP00000000233"	"9606.ENSP00000314615"	499	"ARFGAP1"	"ARF5"
"111"	"9606.ENSP00000000233"	"9606.ENSP00000329419"	581	"COPB2"	"ARF5"
"112"	"9606.ENSP00000000233"	"9606.ENSP00000449270"	616	"COPZ1"	"ARF5"
"113"	"9606.ENSP00000000233"	"9606.ENSP00000356737"	466	"GORAB"	"ARF5"
"120"	"9606.ENSP00000000233"	"9606.ENSP00000239690"	619	"NUDCD1"	"ARF5"
"123"	"9606.ENSP00000000233"	"9606.ENSP00000258739"	499	"KDELR2"	"ARF5"
"125"	"9606.ENSP00000000412"	"9606.ENSP00000262640"	499	"VAMP7"	"M6PR"
"127"	"9606.ENSP00000000412"	"9606.ENSP00000221957"	716	"PLIN3"	"M6PR"
"135"	"9606.ENSP00000000412"	"9606.ENSP00000263864"	499	"VAMP8"	"M6PR"
"139"	"9606.ENSP00000000412"	"9606.ENSP00000470176"	499	"M6PR"	"AP2S1"
"140"	"9606.ENSP00000000412"	"9606.ENSP00000279281"	499	"VPS51"	"M6PR"
"141"	"9606.ENSP00000000412"	"9606.ENSP00000272322"	499	"VPS54"	"M6PR"
"142"	"9606.ENSP00000000412"	"9606.ENSP00000360183"	499	"STX16"	"M6PR"
"143"	"9606.ENSP00000000412"	"9606.ENSP00000350199"	499	"M6PR"	"AP1B1"
"148"	"9606.ENSP00000000412"	"9606.ENSP00000311962"	430	"M6PR"	"GGA2"
"149"	"9606.ENSP00000000412"	"9606.ENSP00000418572"	499	"VAMP2"	"M6PR"
"151"	"9606.ENSP00000000412"	"9606.ENSP00000500695"	499	"M6PR"	"AP1S2"
"152"	"9606.ENSP00000000412"	"9606.ENSP00000466298"	499	"STX10"	"M6PR"
"153"	"9606.ENSP00000000412"	"9606.ENSP00000373905"	499	"M6PR"	"DNM2"
"154"	"9606.ENSP00000000412"	"9606.ENSP00000258145"	499	"M6PR"	"GNS"
"155"	"9606.ENSP00000000412"	"9606.ENSP00000401435"	499	"VPS53"	"M6PR"
"156"	"9606.ENSP00000000412"	"9606.ENSP00000349437"	900	"M6PR"	"IGF2R"
"158"	"9606.ENSP00000000412"	"9606.ENSP00000359540"	408	"M6PR"	"CREG1"
"159"	"9606.ENSP00000000412"	"9606.ENSP00000243298"	499	"RAB9B"	"M6PR"
"163"	"9606.ENSP00000000412"	"9606.ENSP00000222219"	499	"M6PR"	"DNASE2"
"164"	"9606.ENSP00000000412"	"9606.ENSP00000242285"	499	"M6PR"	"CLTA"
"165"	"9606.ENSP00000000412"	"9606.ENSP00000336666"	499	"M6PR"	"AP1S1"
"166"	"9606.ENSP00000000412"	"9606.ENSP00000409952"	499	"VPS52"	"M6PR"
"167"	"9606.ENSP00000000412"	"9606.ENSP00000379891"	499	"M6PR"	"AP1S3"
"168"	"9606.ENSP00000000412"	"9606.ENSP00000054666"	499	"VAMP3"	"M6PR"
"169"	"9606.ENSP00000000412"	"9606.ENSP00000217131"	499	"M6PR"	"CTSZ"
"171"	"9606.ENSP00000000412"	"9606.ENSP00000371175"	764	"M6PR"	"GGA1"
"172"	"9606.ENSP00000000412"	"9606.ENSP00000483185"	499	"M6PR"	"AP2B1"
"174"	"9606.ENSP00000000412"	"9606.ENSP00000479606"	499	"M6PR"	"CLTC"
"179"	"9606.ENSP00000000412"	"9606.ENSP00000369981"	499	"SH3GL2"	"M6PR"
"180"	"9606.ENSP00000000412"	"9606.ENSP00000327694"	499	"M6PR"	"AP2A2"
"183"	"9606.ENSP00000000412"	"9606.ENSP00000362639"	499	"RABEPK"	"M6PR"
"184"	"9606.ENSP00000000412"	"9606.ENSP00000376792"	499	"VTI1A"	"M6PR"
"188"	"9606.ENSP00000000412"	"9606.ENSP00000409581"	499	"M6PR"	"ARRB1"
"195"	"9606.ENSP00000000412"	"9606.ENSP00000251119"	412	"ZFYVE26"	"M6PR"
"197"	"9606.ENSP00000000412"	"9606.ENSP00000377148"	499	"M6PR"	"AP1G1"
"201"	"9606.ENSP00000000412"	"9606.ENSP00000440005"	499	"M6PR"	"ARF1"
"204"	"9606.ENSP00000000412"	"9606.ENSP00000351926"	499	"M6PR"	"AP2A1"
"205"	"9606.ENSP00000000412"	"9606.ENSP00000403362"	499	"M6PR"	"AP2M1"
"206"	"9606.ENSP00000000412"	"9606.ENSP00000369318"	499	"RHOBTB3"	"M6PR"
"209"	"9606.ENSP00000000412"	"9606.ENSP00000388996"	499	"M6PR"	"AP1M1"
"211"	"9606.ENSP00000000412"	"9606.ENSP00000438085"	970	"M6PR"	"GGA3"
"212"	"9606.ENSP00000000412"	"9606.ENSP00000420127"	499	"RAB9A"	"M6PR"
